,title,pers,extracted_names
10,"Annali dell'Islam, compilati da Leone Caetani, principe di Teano","['Leone', 'Ulrico Hœpli', 'Khaibar', 'Aboù-Bakr', 'Touvba', 'Mai', 'Mahomet', 'Spiegel', 'Justi', 'Khâlid b. Al-Walid', 'Emile Amar']",Emile Amar
11,"Anniversary Essays in mediaeval history, by students of Charles Homer Haskins","['Charles Homer', 'Charles Homer Haskins', 'James Stuart', 'Jean Birdsall', 'Charles Wendell David', 'Edgar B. Graves', 'Howard L. Gray', 'John L. La Monte', 'Laurence M. Larson', 'William E. Lunt', 'Hugh Mac Kenzie', 'Richard A. Newhall', 'Henry V', 'Sidney R. Packard', 'Alexander III', 'Josiah Cox Russell', 'Carl Stephenson', 'Joseph R. Strayer', 'Charles H. Taylor', 'H. M. Willard', 'Flores Rhetorici', 'John R. Williams', 'G. W. Robinson']",H. D
12,"Annuaire bibliographique du Dauphiné pour l'année 1921 (deuxième année), publié par l'Association des ArchivistesPaléographes du Dauphiné","['G. Letonnelier', 'G. de', 'ManteyeretL. Royer']",H. D
13,Annuario della R. Scuola Archeologica di Atene e delle missioni italiane in Oriente,"['Annuario della R. Scuola Archeologica di Atene e delle missioni italiane', 'Paribeni', 'Moretti', 'Comparetti', 'Gortyne', 'Gerola']",R. G
14,Anonymi de rebus bellicis liber. Text und Erlaüterungen von Rudolf Schneider,"['Anonymi', 'Schneider', 'Valentinien', 'Valens', 'Théodose', 'Etienne Michon']",Etienne Michon
15,"Antioch on-the-Orontes. II. The Excavations, 1933-1936, Edited by Richard Stillvell (contributors : W. A. Campbell, Nabih A. Faris, Glanville Downey, Jean Lassus, Donald N. Wilber), 1938","['W. A. Campbell', 'Nabih A. Faris', 'Jean Lassus', 'Donald N. Wilber', 'Flavien', 'Théodose', 'Glanville Downey', 'Daphné', 'Hermès', 'Dionysos', 'Amazones', 'Muses', 'Lycurgue', 'Apollon', 'Julius', 'Jean de Gaza', 'Adrien Blanchet']",Adrien Blanchet
16,"Archaeological Survey of India. Annual report, 1911-1912. Edited by Sir John Marshall","['Chah Djihan', 'G. Sanderson', 'Maulvi Zafar Hasan', 'John Marshall', 'Nadir Chah']",H. C
17,"Archives de l'Athos, publiées sous la direction de Gabriel Millet. I. Actes de Lavra, édition diplomatique et critique, par Germaine Rouillard et Paul Collomp, d'après les descriptions, photographies et copies de Gabriel Millet et Spyridon de Lavra","['Gabriel Millet', 'Germaine Rouillard', 'Paul Collomp', 'Lavra', 'G. Millet', 'Xénophon', 'Philippe Meyer', 'Kurtz', 'Spyridon', 'Constantin Monomaque', 'Michel VI', 'Nicéphore Botaniatès', 'Alexis Comnène', 'Mlle Germaine Rouillard', 'Constantin IX', 'Alexis Gomnène', 'Mlle Rouillard', 'Xóyo', 'Nicéphore Phocas', 'Alexis Cornitene', 'Louis Bréhier']",Louis Bréhier
18,Aristidis qui feruntur libri rhetorici II edidit Guilelmus Schmid (Rhetores graeci. T. V.),"['Rhetores', 'Schmid', 'Spengel', 'Aristide', 'H. Baumgart', 'Groiset', 'Hermogène', 'J. G. Le', 'Boulanger', 'H. Rabeetde', 'Userait', 'A. Puech']",A. Puech
19,"Aristotelis Politica, post Fr. Susemihlium recognovit Otto Immisch","['Aristotelis Politica', 'Otto Immisgh', 'B. G. Teubner', 'Susemihl', 'R. D. Hicks', 'Newmann', 'Teubner', 'Schneider', 'Bekker', 'Aristote', 'Vaticanus graecus', 'H. Rabe', 'Michel Psellos', 'Guillaume de Molbeka', 'Augustinus Aegidius', 'Nicolas Oresme', 'Jean Argyropoulos', 'Charles le Téméraire', 'E. R. Sénèque', 'René Waltz', 'Sénèque', 'Waltz', 'Gertz']",E. R
20,"Atlas historique : l. L'Antiquité, par L. Delaporte, E. Drioton, A. Piganiol et R. Cohen","['L. Delaporte', 'E. Drtoton', 'A. Piganiol', 'R. Cohen']",A. M
21,"Atlas universel de géographie, dressé sous la direction de F. Schrader. Nouvelle édition","['Schrader', 'Vivien de Saint-Martin', 'Tétat']",H. D
22,"Barhebraeus'Scholia on the Testament (part I) edited by M. Sprengling and W. C. Graham, 1932","['Grégoire Aboulfaradj,', 'Sprengling', 'Graham', 'Josué', 'Spren-gling', 'J.-B. Chabot']",J.-B. Chabot
23,Beiträge zur Zuckungsliteratur des Okzidents und Orients. Herausgegeben von Hermann Diels. I. Die griechischen Zuckungsbücher ,"['Beitrâge zur', 'Diels', 'G. Reimer', 'Hésiode', 'Camille Perusius', 'Aristote', 'Franzius', 'Augustinus Niphus', 'Thomas Philipps', 'E. Ruelle']",C. E. Ruelle
24,Bibliografìa scientifico-tecnica italiana,['Bibliografìa'],n article publié dans une revue.  H.  )
25,"Bibliographie Bouddhique. T. III, ma11930 -ma11931 (Buddhica, Documents et travaux pour l’étude du Bouddhisme, publiés sous la direction de Jean Przyluski). In-4°, Paris, Geuthner, 1935","['Jean Przyluski', 'Geuthner', 'A. J. Bernet Kempers', 'G. K. M. Glauson', 'Nalinaksha Dutt', 'Jan Jaworski', 'Lalou', 'L. de La Vallée Poussin', 'E. J Lévy', 'R. Lin-get', 'Otto Stein', 'E. To-momatsu', 'P. Tuxen', 'J. Yoshimizu', 'James R. Ware']",H. D
26,"Bibliographie alsacienne. Revue critique des Publications concernant l'Alsace. T. II, 1921-1924. (Publications de la Faculté des Lettres de l'Université de Strasbourg)",['A. Grenier'],D
27,"Bibliothèque de Mme G. Whitney Hoff. Catalogue des manuscrits, incunables, éditions rares, reliures anciennes et modernes, 1933","['Mme G. Whitney', 'L. Gruel', 'Antoine Koburger', 'Guy Marchant', 'Jean Trepperel, imprimeur', 'Jacques de Cessoles', 'Antoine Vérard', 'Jean Grolier', 'Boccace', 'Philippe Lenoir', 'Denis Janot', 'Psiché', 'Jeanne de Marnef', 'Maître', 'Raphael', 'Louis Dolce', 'Gabriel Giolito di Ferrari', 'Catherine de Mé-dicis', 'Pascal', 'Oraisons', 'Bossuet', 'Henriette de France', 'Œuvres de Molière', 'Jean Racine', 'Louis Dumas', 'Chloé du Régent', 'Fragonard', 'Mme Whitney-Hoff', 'Charlemagne', 'Christ', 'Chârles-Quint', 'Nicolas Van Doer-maele', 'Henry VIII', 'Thomas Mathieu', 'Catherine de Médicis', 'François', 'Ier', 'Léon Gruel', 'François Ier', 'Napoléon III', 'Louise de Lorraine', 'Joséphine', 'Charles II', 'Charles-Quint', 'Gabriel de Roquette', 'Louis-Constantin de Rohan', 'Peiresc', 'Mme de Mainte-non', 'Palatine', 'Mme Elisabeth', 'Mlle Clairon', 'Mlle Mars', 'Amédée Boinet']",L.-H. Labande
28,Bulletin archéologique du Musée Guimet. Fascicules I et II,"['Fascicules I', 'G. van Oest', 'Finot', 'Goloubew', 'Sylvain Lévi', 'Pelliot', 'Edouard Chavannes', 'A. Moret', 'P. Pelliot', 'Vœuvre de Chavannes', 'Raphaël Petrucci', 'Victor Segalen', 'Paul Vitry', 'Jean Lartigue', 'Gilbert de Voisins', 'Paul Pelliot', 'Guimet', 'J. Hackin', 'J. Bacot', 'Joseph Hackin']",H. C
29,Bulletin de l'Union des sociétés savantes polonaises de Léopol,"['Lev Dajiilovitçh, prince de Galitch', 'Vladimir', 'Casimir le Grand', 'Jean Casimir', 'Adam Mickiewicz', 'L. Léger']",L. Léger
30,"Byzantion. — Revue internationale des études byzantines, publiée par Paul Graindor et Henri Grégoire. Tome I. 1924","['Paul Graindor', 'Henri Grégoire', 'Tome I', 'Edouard Champion', 'William Ramsay', 'Jorga', 'Grégoire', 'Kondakof']",Gh. Diehl
31,"Cartulaire de l'abbaye cistercienne du Val-Dieu (XIIe -XIVe siècle), par Joseph Ruwet","['Ruwet', 'SainteAgathe', 'Hervé', 'Jacques Boussard']","Journal des Savants, , "
32,Cataleg de la Colleccio Cervàntìca formada per D. Isidro Bonsoms i Sicart i cedida per ell a la Biblioteca de Catalunya redactat per Joàn Givanel i Mas,"['Yolum', 'Anys', 'Cervantes', 'Givanel y Mas', 'D. Martin Fernandez de Navarrele', 'Don Sebastian Gabriel de Bourbon', 'D. Cayelano Alberto de la Barrera', 'Thebusscm', 'D. Mariano Pardo de Figueroa', 'Nicolas Diaz de Benjumea', 'Adolfo de Castro', 'Fillcau de Saint-Martin', 'Sautelet', 'Prosper Mérimée', 'Maurice Tourneux', 'F. de', 'Paule Noriega', 'Orlila', 'François Biedermann', 'J. M. Guardia', 'J.-B. Baillière', 'Mateo Vâsqucz', 'Cotarelo', 'A. Morel-Fatio']",A. Morel-Fatio
33,"Catalogua Mapparam geographicarum ad historiam pertinentium, 1933","['Martinus Nijhofif', 'A. Coville', 'Léon Mirot', 'Y. M. Goblet', 'Auguste Longnon', 'VA t las de géographie historique', 'Schrader', 'Gomboust']",H. D
34,Catalogue de la Bibliothèque de l'Université de Paris,"['C. Klincksieck', 'Emile Châtelain', 'Comnienlation.es', 'Theodori']",D
35,"Catalogue de la Bibliothèque syrochaldéenne du couvent de N.-D. des Semences, près d'Alqosh (Iraq), par le P. J. Vosté","['P. J. Vosté', 'Paul Geuthner', 'Rabban', 'Mgr Scher']",J.-B. Ch
36,Catalogue du fonds scandinave de la Bibliothèque Sainte-Geneviève. ,"['Eugène Gapet', 'Fritiof Palmer', 'Erik Lie', 'Capet', 'Dezos de la Roquette', 'Eug', 'Palmer']",E. R
37,Catalogue of Sculpture in the Department of Greek and Roman Antiquities of the British Museum,"['F. N. Pryce', 'A. H. Smith', 'Mycènes', 'Wace', 'Arthur Evans', 'Rev', 'Apollon', 'A. Merlin']",A. Merlin
38,Catalogue of books printed in the XVth century now in the British Museum. Part IV,"['Leopold Delisle', 'Pollard', 'Thomas', 'Esdaile', 'Ulric Han', 'J. P. de Lignamine', 'Georges Lauer', 'Adam Rot', 'Roi', 'George III', 'Thomas Grenville', 'Pannartz le Cicéron Ad Familiares', 'Virgile', 'John Rylands Library', 'Van Praet']",S. de R
39,"Catalogue of the Mingana Collection of Manuscripts,... Vol. I, Syriac and Garshûni Manuscripts by A. Mingana, 1933","['Vol. I', 'W. Heffer', 'Mingana', 'Isaac de Ninive', 'Joseph Haz-zaya', 'S. Ephrem', 'Jacques de Saroug', 'Philoxène de Mabboug', 'Denys bar Salibî', 'Barhébréeus', 'Chrysostome,', 'Grégoire de Nazianze', 'J.-B. Chabot']",J.-B. Chabo
40,"Catalogue of the Mingana Collection of Manuscripts... Vol. II, Christian arabic Manuscripts and additional Syriac Manuscripts, by A. Mingana, 1936","['Christian arabic', 'W. Heffer', 'Cohen', 'Mingana', 'J.-B. Chabot']",J.-B. Chabot
41,Catalogue of the Morgan Collection of Chinese Porcelains. Privately printed by order of Mr. J. Pierpont Morgan,"['Stanislas Julien', 'Jacquemart', 'Edmond Le Blant', 'O. Du Sartel', 'Ernest Grandidier', 'S. W. Bushell', 'Cosmo Monkiiouse', 'F. Brinkley', 'R. L.Hobson', 'F. Mirth', 'William Thompson', 'Sir A. Wollaslon', 'Stephen Wootton Bushell', 'William M. LafFan', 'Louis Prang', 'J. Pierpont Morgan', 'William Al', 'Morgan', 'Dr S. W. Bushell', 'Bushell']",H. G
42,Catalogue of the literary Papyri in the British Museum,"['H. M. Milne', 'Milne', 'Maurice Croiset']",Maurice Croiset
43,Catalogus codicum astrologorum graecorum. Codicum romanorum partem tertiam descripsit Josephus Heeg,"['Codicum', 'Josephus Heeg', 'Franz Cumont', 'Codices', 'Franz Boll', 'W. Kroll', 'Dorothée', 'Zoroastre', 'Sechel', 'Théodore le Méliténiote', 'Tribible', 'J. Heeg', 'Vaticanus']",C. E. R
44,"Catáleg de la collecció cervantica formado per D. Isidro Bonsoms i Sicart i cedida per ell a la Biblioteca de Catalunya, redactat per Joàn Givanel Y mas. Volume primer. Anys 1590-1800","['Cervantes', 'D. Isidro Bonsoms', 'Joan Givanel y Mas', 'Jaunie Masso', 'Bonsoms', 'Alcal', 'Baudoin', 'Jean Richer', 'Marcelle', 'César Oudin', 'Louis XIII', 'Oudin', 'Daguin', 'C. Oudin', 'F. de Rosset', 'E. Gebhart', 'Joan Givanel', 'A. Morel']",A. Morel Fatio
45,"Charisteria, Alois Rzach zum achtzigsten Geburtstag dargebracht","['Alois Rzaeh', 'Hésiode', 'Cicéron', 'Euripide', 'Andr', 'L. Badermacher', 'H. Prinz', 'A. Biedl', 'Celse', 'T. llopfuer', 'Orose', 'Jotsniich puhlie', 'Dunnv']",M. Dunnv
46,"Charlemagne (the Distracted Emperor), drame élisabéthain anonyme. Édition critique avec introduction et notes par Frank L. Schœll","['Charlemagne', 'H. Milford', 'Elisabeth', 'Jacques Ier', 'Pétrarque', 'Ganelon', 'Turpin', 'Bullen', 'Y Empereur', 'Chapman', 'Tintrigue', 'Biron', 'A. Barbeau']",A. Barbeau
47,Chartae latinae antiquiores. Facsimile edition of the latin charters prior to the ninth century. Ed. by Albert Bruckner and Robert Marichal,"['Bruckner', 'Robert Marichal', 'Lowe', 'Marichal', 'Saint-Gall', 'Charles Perrat', 'Chartae', 'Charles Samaran']",Charles Samaran
48,"Chronicon universale Anonymi Laudunensis, von 1154 bis zum Schluss (1219)","['Uebungen herausgegeben von', 'Alexander Cartellieri', 'G. Waitz', 'A. Cartellieri', 'Philippe-Auguste', 'W. Slechele']",R. P
49,"Chroniques de J. Froissart, troisième livre, publié pour la Société de l'Histoire de France (série antérieure à 1789) par Léon Mirot, 1931","['Léon Mirot', 'Gaston Raynaud', 'Froissart', 'Gaston Phœbus', 'Vincent Flipo']",Vincent Flipo
50,"Chronographia islamica, ossia rassunto cronologico della storia di tutti i popoli musulmani dall'anno 1 all'anno 922 (622-1517)... compilato da Leone Caetani, principe di Teano","['Leone Caetaxi', 'Teano', 'Leone Gaetani', 'Selim', 'Annali dclV Fslam', 'Gabrieli', 'Max van Berchem']",Max van Berchem
51,Chàndogya-Upanisad traduite et annotée par Émile Senart,"['Emile Sena', 'Guillaume Bude', 'Senart', 'Guillaume', 'Foueher', 'Seitart', 'L. Renou']",L. Renou
52,"Cinquième Congrès international d'archéologie, publié par les soins de la Société historique algérienne, 1933","['Emile Maupas', 'Stephen Gsell', 'Marius', 'R. de Serpa', 'Yvonne Allais', 'Auguste Audollent', 'Fontaine', 'Adrien Blan-chet', 'Abbé J.-B. Chabot', 'Marius Dalloni', 'Adolphe Lods', 'Alfred Merlin', 'Louis Poinssot', 'Malva Maurice Vincent', 'P. Wuilleumier', 'Alfred Bel', 'A. Dessus Lamare']",Dessus Lamare.  La Anaza.  H.  D
53,"Clio, introduction aux études historiques, a : La Grèce et l'hellénisation du monde antique, par R. Cohen, 1934","['Cohen', 'S. Charléty', 'A. Merlin']",A. Merlin
54,"Codices latini antiquiores. A Palaeographical guide to Latin manuscripts prior to the ninth century, edited by E. A. Lowe : Part VI, France : Abbeville-Valenciennes","['Codices latini', 'Washington', 'Lowe', 'Belles-Lettres i', 'Jui', 'Jean Mallon', 'Charles Samaran']",Charles Samaran
55,"Codices latini antiquiores. A palaeographical guide to Latin manuscripts prior to the ninth century, edited by E. A. Lowe. Part IV. Italy : Perugia Verona. Part V. France : Paris. ","['Codices latini', 'Lowe', 'Carnegie', 'Bischoff', 'Charles Samarxn']",Charles Samarxn 
56,"Coinage in Roman imperial Policy (31 B. C. A. D. 68), par G H. V. Sutherland","['Auguste', 'Livio', 'Sutherland', 'Thnnnus', 'Taureau', 'Grant', 'Liberlas', 'Pater Patriae', 'Memausus', 'Caligula', 'Tiberius', 'Junius Silanus', 'Claude', 'Victoire', 'Salas', 'Taci', 'Messaline-C. Silius', 'Mélanges Radet', 'Adrien Blanchet']",Adrien Blanchet
57,"Collection de Monographies ethnographiques africaines, publiée sous la direction de Cyr. Van Overbergh, t. X et XI","['Cyk', 'Van Overbergh', 'R. P. Colle', 'Albert', 'VOïrou Miou', 'George Foucart']",George Foucart
58,"Collezione di classici italiani con note e traduzione a fronte. I. Copa (L'Ostessa), poemetto pseudo-virgiliano, tradotto e annotato da Arnaldo Monti. II. Peruigilium Veneris (La Veglia della dea Venere), carme d'ignoto autore, tradotto e annotato da Arnaldo Monti ; Aggiunto un carme di Tiberiano","['Monti', 'Pascoli', 'Carducci', 'Foscolo', 'R. Y. Tyrrell', 'Vollmer', 'Ebria fumosa', 'Clerico', 'Jean Le Clerc', 'Le Clerc', 'Pithou', 'Omont', 'Catulle', 'Paul Lejay']",Paul Lejay
59,"Comedia famosa de Amar sin saber a quién de Lope de Vega Carpio edited with notes and vocabulary by Milton A. Buchanan, University of Toronto and Bernard Franzen-Swedelius, Mc Master University, Toronto, New-York, Henry Holt and Company","['Amar sin saber', 'Lope', 'Henry Holt and Company', 'Buchanan', 'El esciavo del demonio', 'Damas Hinard', 'Baret', 'Adolf Kressner', 'Lo juzgue el', 'Ambrosio de Salazar', 'Francisco Pisa', 'Castilla', 'Cervantes', 'Mateo Vasquez', 'Vétranger', 'Peribanez', 'Comendador', 'J. M. Sbarbi', 'Maestro Gonzalo', 'Pedro de Medina', 'Medina Sidonia', 'Colecciân', 'Entro', 'Magestad', 'Oyole el Prudente Rey', 'Felipe II', 'Escarmientos del amor,', 'Tanta', 'Cuadros', 'D. Luys', 'Monreal', 'Franzen-Swedelius', 'Alfred Morel-Fatio']",Alfred Morel-Fatio
60,"Comité international de Paléographie. Catalogue des manuscrits en écriture latine portant des indications de date, de lieu ou de copiste, par Charles Samaran et Robert Marichal. Tome V","['Charles Samaran', 'Robert Mar', 'Monique Garand', 'Madeleine Mabille', 'Josette Metman', 'Marie-Thérèse Vernet', 'Mme Garand']",J. BOUSSARD
61,"Comité international de Paléographie. Catalogue des manuscrits en écriture latine portant des indications de date, de lieu, ou de copiste, par Charles Samaran et Robert Marichal. Tome I","['Charles Samaran', 'Robert Marichal', 'Monique Garand', 'Josette Metman', 'Marie-Thérèse Vernet', 'Marichal', 'Jacques']",Jacques BOUSSARD
62,"Comité international de paléographie. Catalogue des manuscrits en écriture latine portant des indications de date, de lieu ou de copiste, par Charles Samaran et Robert Marichal. Tome II, Bibliothèque nationale, fonds latin n° 1 à 8000, sous la direction de Marie-Thérèse d'Alverny. Notices établies par Monique Garand, Madeleine Mabille et Josette Metman","['Charles Samaran', 'Robert Marichal', 'Raoul', 'A. Boinet', 'Hugues Capet', 'Adémar de Chabannes', 'Leopold Delisle', 'Charles le Chauve', 'Jacques']",Jacques BOUSSARD
63,Commentationes philologicae in honorem professoris emeriti J. A. Heikel ediderunt discipuli,"['Commentaliones philologicse in honorem professoris emeriti', 'A. Heikel ediderunt', 'Ivor August Heikel', 'Erik Ahlman', 'Y. Biese', 'Miscellanea', 'E.G. Gulin', 'Herman Gummerus', 'Rafael Gyllenberg', 'Hammarstrôm', 'Aarno', 'De Danaa', 'A. H. Salonius', 'Petroniana']",H. D
64,Comptes rendus du Congrès international de Géographie. Paris 1931,"['Armand Colin', 'Général Winterbotham', 'Comte', 'Francesco Pellati', 'Giuseppe Lugli', 'Maurice Besnier', 'P. Poidebard', 'J. Tourneur-A umori', 'Louis C. Kor pi', 'P. C. Wieder', 'Charles Du Bus', 'Roberto Almagia', 'Interno alle Ricerche di storia della Cartografia', 'Abelardo Merino', 'Rafael de Buen', 'H. van der Linden', 'Ortelius', 'Y. M. Goblet', 'Sir William Peltg', 'J. Wasowics', 'Philippe Van der Maelen', 'J. Bonnerot', 'Henri Beis', 'Esame', 'Abel Briquet', 'Paolo Revelli', 'Gaillv de Taurines', 'R. V. Putnam', 'Henri Dehérain', 'Mustafa Amer', 'Mnhemed Sadek Hey', 'M Renault', 'Henri Maio']",H. D
65,"Corpus Vasorum antiquorum, fasc. 16, par N. Plaoutine et J. Roger, sous la direction de A. Merlin","['N. Plaoutine', 'J. Rog-er', 'A. Merlin', 'Honoré Champion', 'Nicolas Plaoutine', 'J. Roger', 'Piaoutine', 'Upinas', 'Dipylon', 'Héraclès', 'Némée', 'Antée', 'Amazones', 'Èros', 'Y. Béquiqnon']",Y. Béquiqnon
66,Corpus juris civilis. Vol. I. Institutiones recognovit Paulus Krueger ; Digesta recognovit Theodorus Mommsen,"['Paulus Krueger', 'Theodorus Mommsex', 'Weidmann', 'Justinien', 'Bonfante']",R. C
67,"Corpus scriptorum latinorum Paravianum, moderante Carolo Pascal, Paravia","['Pascal', 'Cicéron', 'Sabbadini', 'Jules César']",Georges Lafavb
68,Correspondance des directeurs de l'Académie de France à Rome. Nouvelle série. Volume I. Répertoires. Publié par les soins de Georges Brunel,"['Georges Brunel', 'Anatole de Montaiglon', 'Jules Guiffrey', 'Ingres', 'Hébert', 'Schnetz', 'Cabat', 'Guillaume', 'Brunei', 'Mme Labat-Poussin', 'Mme Laffitte-Larnaudie', 'Perot', 'P. Arrizoli-Clémentel', 'G. Brunei', 'J. Tulard', 'Napoléon', 'Bruno Neveu']",Bruno Neveu
69,"Das indische Schattentheater bearbeitet von Georg Jacob, Hans Jensen, Hans Losch. (Das orientalische Schattentheater her. von G. Jacob und P. Kahle, zweiter Band), 1931","['Jacob', 'Hans Jensen', 'Ueber das indische Schatlenspiel', 'Jensen', 'Losch', 'L. Renou']",L. Renou
70,Der Leuchtturm von Alexandria,"['Paul Kahle', 'Beitràgen von Georg Jacob', 'W. Kohlhammer', 'Kahle', 'Jacob']",P. Dhorme
71,Deutsches archäologisches Institut,"['Madrider MlTTElLUNGEN', 'F. H. Kerlz', 'R. Herbig', 'Don Charles de Bourbon', 'Philippe V', 'V. Leisner', 'E. Sangmeister', 'Blanco Freliziro', 'P. P. Spranger', 'H. Nesselhauf', 'Titus', 'H. Sichtermann', 'Eros', 'Hadrien', 'Antonin', 'E. Langlotz', 'Athéna Médicis', 'Platon', 'Athéna Médicis du Louvre', 'Phidias', 'Amelung', 'F. Hernandez Giménez', 'A. Schulten', 'A. Merlin']",A. Merlin
72,Dictionnaire d'archéologie chrétienne et de liturgie des RR. Dom F. Cabrol et Dom H. Leclerq,"['Dom F. Cabrol', 'Letouzey', 'H. Marrou', 'Dom Leclercq', 'Pie-Zeses', 'Henri Marrou', 'Sain t-Rémy-deProvence', 'Charles de Smedt', 'J.-R. de Rossi', 'J. Wilpert', 'Marrou', 'J. Carcopino', 'A. Merlin']",A. Merlin
73,"Die Mischna, Text, Uebersetzung und ausführliche Erklärung","['Holtzmann', 'G. Beeh', 'K. Albhecht,', 'W. Windfurhr', 'Baba', 'Alfred Topelmann', 'Tosephtatraktat', 'Giessen', 'Rabbi', 'Saint', 'Galilée le Sanhédrin', 'Yamnia', 'Beer', 'Philon', 'Joseph', 'Bénédictions', 'Schema', 'Challa u', 'Albrecht', 'J.-B. Chabot']",J.-B. Chabot
74,Die Æthiopische Uebersetzung des Propheten Daniel... von Oscar Lœfgren,"['Auguste Dillmann', 'Daniel', 'Ecclés', 'Mich', 'Nah', 'Agg', 'Zach', 'Gwilliam']",J.-B. Gh
